eval_losses,eval_accs,eval_final_accs
7.437145,0.008263303,0.008263814
9.150003,0.015311378,0.015311641
6.1537614,0.02405996,0.024061352
6.6387925,0.037569415,0.037569784
5.6166945,0.048293468,0.04829813
5.369796,0.06366617,0.06366991
4.5370092,0.084998086,0.0850046
3.3652108,0.11708552,0.1170917
4.229669,0.14487144,0.14483789
3.345471,0.17954221,0.179569
3.263855,0.21736005,0.21740063
3.1080956,0.23327486,0.23328249
2.1963706,0.26017612,0.2601378
3.0741432,0.27821139,0.2781656
2.7120252,0.28710207,0.28703088
2.3478353,0.31244814,0.31248158
2.187706,0.32165298,0.3215814
2.3097625,0.32844862,0.32838
2.0085182,0.3433937,0.34340325
1.8850415,0.36391369,0.36397046
